Category	Bytes	MiB	AssetPath
KEEP_PROTECTED	414112	0.395	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/SpawnerEditor.cs
KEEP_PROTECTED	374711	0.357	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaManagerEditor.cs
KEEP_PROTECTED	320312	0.305	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Spawning System/Spawner.cs
KEEP_PROTECTED	310196	0.296	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Photo Mode/PhotoMode.cs
KEEP_PROTECTED	290696	0.277	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Session System/GaiaSessionManager.cs
KEEP_PROTECTED	249092	0.238	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/GaiaUtils.cs
KEEP_PROTECTED	191860	0.183	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Multi Terrain System/GaiaMultiTerrainOperation.cs
KEEP_PROTECTED	187282	0.179	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/ExportTerrain.cs
KEEP_PROTECTED	154262	0.147	Assets/Naganeupseong/Shaders/PBR_Alpha.shader
KEEP_PROTECTED	144456	0.138	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/API/GaiaAPI.cs
KEEP_PROTECTED	141348	0.135	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Stamping System/Stamper.cs
KEEP_PROTECTED	136146	0.130	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Scene Management/GaiaSceneManagement.cs
KEEP_PROTECTED	131558	0.125	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/GaiaResource.cs
KEEP_PROTECTED	131297	0.125	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/HeightMap.cs
KEEP_PROTECTED	129576	0.124	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Lighting System/GaiaLightingProfileValues.cs
KEEP_PROTECTED	113911	0.109	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/ConvertTerrains.cs
KEEP_PROTECTED	105582	0.101	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/GaiaLighting.cs
KEEP_PROTECTED	103936	0.099	Assets/Procedural Worlds/Frameworks/Common5/Editor/PWCommon5EditorDLL.dll
KEEP_PROTECTED	102403	0.098	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/StamperEditor.cs
KEEP_PROTECTED	98287	0.094	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Scene Management/GaiaLightingEditor.cs
